duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:35,100,0.40999132335186006,nan,1.0,109.6,1.0
0:02:57,200,0.776745436489582,nan,801.0,1000.0,801.0
0:05:19,300,0.8466598075628281,nan,801.0,1000.0,801.0
0:07:52,400,0.8423546475172042,nan,801.0,1000.0,801.0
0:10:18,500,0.8459899950027466,nan,801.0,1000.0,801.0
0:12:42,600,0.8365261912345886,nan,801.0,1000.0,801.0
0:15:09,700,0.836469099521637,nan,801.0,1000.0,801.0
0:17:35,800,0.831374848484993,nan,801.0,1000.0,801.0
0:20:10,900,0.839215891957283,nan,801.0,1000.0,801.0
0:22:40,1000,0.8448696428537369,nan,801.0,1000.0,801.0
0:24:57,1100,0.8400059551000595,1.9460799717903137,801.0,1000.0,801.0
0:27:07,1200,0.8491018587350845,1.926723153591156,801.0,1000.0,801.0
0:29:16,1300,0.855201131105423,1.933534790277481,801.0,1000.0,801.0
0:31:25,1400,0.8416437488794327,1.9202855134010315,801.0,1000.0,801.0
0:33:35,1500,0.8457619160413742,1.9238956356048584,801.0,1000.0,801.0
0:35:44,1600,0.8490812832117081,1.9295776569843293,801.0,1000.0,801.0
0:37:53,1700,0.8506935513019562,1.9341379332542419,801.0,1000.0,801.0
0:40:02,1800,0.8424210673570633,1.924234503507614,801.0,1000.0,801.0
0:42:19,1900,0.8568715578317643,1.9414793503284455,801.0,1000.0,801.0
0:44:27,2000,0.8430327886343002,1.9308032155036927,801.0,1000.0,801.0
0:46:37,2100,0.8494599741697312,1.9342025411128998,801.0,1000.0,801.0
0:48:46,2200,0.8431881636381149,1.9311417770385741,801.0,1000.0,801.0
0:50:54,2300,0.852305777668953,1.930663994550705,801.0,1000.0,801.0
0:53:03,2400,0.8477060580253601,1.9202331149578094,801.0,1000.0,801.0
0:55:12,2500,0.8518448489904403,1.9239370656013488,801.0,1000.0,801.0
0:57:30,2600,0.849193992614746,1.9204081773757935,801.0,1000.0,801.0
0:59:37,2700,0.8487583810091018,1.9228941214084625,801.0,1000.0,801.0
1:01:44,2800,0.8515439587831497,1.925611616373062,801.0,1000.0,801.0
1:03:52,2900,0.8470904111862183,1.9221145451068877,801.0,1000.0,801.0
1:06:02,3000,0.850526162981987,1.9220705354213714,801.0,1000.0,801.0
