duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:12:06,100,0.4006543019413948,nan,1.0,112.7,1.0
0:26:14,200,0.3464469990134239,nan,1.0,113.3,1.0
0:39:54,300,0.3246148866415024,nan,1.0,110.5,1.0
0:52:55,400,0.3368263003230095,nan,1.0,108.3,1.0
1:10:35,500,0.7995603811740876,nan,14.3,207.2,14.3
1:28:17,600,0.7960634815692902,nan,59.4,253.9,59.4
1:48:42,700,0.7936180472373963,nan,91.7,286.4,91.7
2:10:48,800,0.7938547104597091,nan,109.0,303.6,109.0
2:33:03,900,0.8049119395017624,nan,66.4,265.4,66.4
2:57:34,1000,0.8003287726640701,nan,97.5,296.5,97.5
3:12:22,1100,0.8016643911600113,1.6917075061798095,85.0,284.0,85.0
3:29:13,1200,0.8012097358703614,1.647892119884491,98.7,297.7,98.7
3:46:48,1300,0.8009328711032867,1.6445873701572418,109.0,308.0,109.0
4:02:38,1400,0.8018287366628647,1.6391232931613922,79.3,278.3,79.3
4:19:56,1500,0.8012111330032349,1.6311503624916077,101.1,300.1,101.1
4:37:17,1600,0.8000539600849151,1.621461763381958,83.3,282.3,83.3
4:56:06,1700,0.8019314569234848,1.6172131943702697,86.7,285.7,86.7
5:14:36,1800,0.7985967648029327,1.616380161046982,74.7,273.7,74.7
5:34:48,1900,0.802170170545578,1.623267456293106,105.6,304.6,105.6
5:56:18,2000,0.8019655984640122,1.6113989543914795,119.8,318.8,119.8
6:16:09,2100,0.8020572853088379,1.6024001729488373,99.9,298.9,99.9
6:35:22,2200,0.8012008076906204,1.6552369356155396,84.1,283.1,84.1
6:54:32,2300,0.8031758213043213,1.5822778868675231,96.0,295.0,96.0
7:14:14,2400,0.8011232823133468,1.5729253160953522,108.1,307.1,108.1
7:33:04,2500,0.8007560521364212,1.5687075567245483,95.0,294.0,95.0
7:50:38,2600,0.8008181130886078,1.5646419727802277,98.5,297.5,98.5
8:07:56,2700,0.8003777045011521,1.558630064725876,87.6,286.6,87.6
8:25:45,2800,0.8001040828227997,1.554202252626419,81.6,280.6,81.6
8:43:56,2900,0.7995684111118316,1.5514389550685883,78.5,277.5,78.5
9:03:07,3000,0.8021382290124893,1.5449332809448242,91.8,290.8,91.8
